id	Concepticon id	Definition
Animalia:flock (of animals).N	2939	A large number of animals, especially birds, sheep or goats.
Animalia:fly (insect).N	1504	A common insect; any species of insect of the order Diptera.
Animalia:flying fox.N	235	A large bat of the genus Pteropus of the family Pteropodidae.
Animalia:flying squirrel.N	3271	A squirrel of the sub-family Pteromyinae of the family Sciuridae.
Animalia:foal.N	1647	A juvenile horse, especially one which is not yet weaned.
Animalia:fowl.N	265	A bird that is kept for its meat and eggs.
Animalia:fox.N	1312	A carnivorous relatively small canine of the species Vulpes Vulpes.
Animalia:freshwater eel.N	1013	A snake-like edible fish, which lives in freshwater.
Animalia:frog (small).N	3245	A small kind of frog (as opposed to big ones).
Animalia:frog.N	503	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.
Animalia:gazelle.N	5	An antelope of the genus Gazella mostly native to Africa and capable of running at high speeds for long periods.
Animalia:gecko.N	2355	Lizards belonging to the infraorder Gekkota, found in warm climates throughout the world.
Animalia:geld.V	29	To remove the testicles (and sometimes penis) of a male animal or to render the testicles nonfunctional.
Animalia:gelding.N	2566	A castrated stallion.
Animalia:gibbon.N	2511	Apes in the family Hylobatidae.
Animalia:gill.N	1916	The breathing organ of fish and other aquatic animals.
Animalia:giraffe.N	3089	A quadruped animal native to Africa, remarkable for the length of its legs and neck.
Animalia:goat.N	1502	A common four-legged animal (Capra) that is related to sheep and bred by humans for its coat and milk.
Animalia:goose.N	1187	Waterfowl of the Anatidae family.
Animalia:goral.N	3259	A small ungulate with goat-like and antelope-like appearance.
Animalia:gorilla.N	3144	Large, African ape covered in dark hair.
Animalia:grasshopper.N	607	A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.
Animalia:graze.V	3058	To feed on grasses and herbage in a field or on pastureland.
Animalia:grizzly bear.N	3738	A large and ferocious subspecies of the brown bear, inhabiting North America.
Animalia:growl.V	3679	To make a low sound in the throat, usually as a sign of anger.
Animalia:grub.N	3011	Larva of Coleoptera order.
Animalia:guan or turkey.N	2385	Birds looking similar to a Guan or a Turkey.
Animalia:guan.N	437	A large game bird of the curassow family, common in dense woodlands of Central and South America.
Animalia:guinea fowl.N	456	Bird of the family Phasianidae native to Africa.
Animalia:guinea pig.N	3718	A tailless rodent which is larger than a hamster and often kept as a pet. It belongs to the family Caviidae.
Animalia:hamster.N	3147	Mouse-sized animal with large cheeks for storing food, often kept as a pet.
Animalia:hare.N	1190	Mammal of the family hares and rabbits (Leporidae) with long ears, short tail and hindlegs which are shorter than the forelegs and permit running quickly.
Animalia:hatch (out).V	3116	Emergence from an egg.
Animalia:hawk.N	307	A predatory bird of the family Accipitridae.
Animalia:he-goat.N	264	A male goat.
Animalia:head louse.N	310	A parasitic insect which lives among the hairs on the head of a human and feeds on blood.
Animalia:hedgehog.N	1797	Small mammal characterized by its spiny back and by its habit of rolling itself into a ball when attacked.
Animalia:hen.N	1514	A female chicken.
Animalia:henhouse.N	3401	A barn for chickens.
Animalia:herdsman.N	263	A man who looks after a herd of animals.
Animalia:heron.N	758	A long-legged, long-necked wading bird of the family Ardeidae.
Animalia:hinny.N	3824	The offspring of a stallion (male horse) and a female donkey (jenny).
Animalia:hippopotamus.N	3145	Heavy, African animal living in rivers and lakes.
Animalia:honeycomb.N	3947	A wax structure consisting of multiple small holes made by bees to store their honey.
Animalia:hoplias (genus).N	3933	Genus of fish commonly found in South America
Animalia:hornbill.N	3260	A bird characterized by a long, down-curved, and frequently colored beak.
Animalia:hornet.N	3261	A large wasp that can inflict a severe sting, characteristically building large papery nests.
Animalia:horse barn.N	3403	A barn for horses.
Animalia:horse dung.N	3378	The faeces of a horse.
Animalia:horse mane.N	3546	The long hair on a horse's head and neck.
Animalia:horse.N	615	A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles.
Animalia:horsefly.N	3262	A fly of the family Tabanidae, known for biting humans.
Animalia:horsetail.N	2196	Tail of a horse.
Animalia:howler monkey.N	433	Large, prehensile-tailed tropical American monkey of the genus Alouatta, the males of which make a howling noise.
Animalia:hummingbird.N	1589	A small bird in the family Trochilidae.
Animalia:hyena.N	1799	A large carnivore of the family Hyaenidae, similar in appearance to a dog and native to Africa and Asia, best known for the sound resembling laughter that it makes when excited.
Animalia:iguana.N	1578	(Iguanidae) A lizard family.
Animalia:insect.N	620	A class of the Arthropoda typically having a segmented body with an external chitinous covering, a pair of compound eyes, a pair of antennae, three pairs of mouthparts, and two pairs of wings.
Animalia:intestinal worm.N	3623	An organism, also known as the parasitic worm, that infects and breeds in the gastrointestinal tract of humans and animals.
Animalia:jackal.N	3313	A wild dog-like animal of the Canis genus home to parts of Asia and Africa.
Animalia:jaguar.N	1250	A carnivorous spotted large cat native to South and Central America.
Animalia:kangaroo rat.N	2822	Small rodents native to North America.
Animalia:kangaroo skin.N	2823	The skin of a kangaroo.
Animalia:kangaroo.N	164	A marsupial from the family Macropodidae having powerful hind legs and large feet for leaping.
Animalia:kingfisher.N	2444	A group of small to medium-sized brightly colored birds in the order Coraciiformes.
Animalia:ladybug.N	3139	Flying insect of the Coleoptera order.
Animalia:lair.N	2949	The resting or living place of a wild animal.
Animalia:lamb.N	820	Young sheep.
Animalia:large wild herbivore.N	2456	Wild herbivores, like deer or kangaroo, wo are traditionally hunted for their meat.
Animalia:large-bullet-ant (subfamily paraponerinae).N	3935	Common designation for carnivorous ants of the Paraponerinae subfamily
Animalia:larva.N	2640	A distinct juvenile form many animals undergo before metamorphosis into adults.
Animalia:leech.N	2273	Segmented worms that belong to the phylum Annelida and comprise the subclass Hirudinea.
Animalia:leopard.N	1139	A large wild cat with a spotted coat, Panthera pardus, indigenous to Africa and Asia.
Animalia:leporid (rabbit or hare).N	2345	Mammal of the family hares and rabbits (Leporidae) with long ears, short tail and hindlegs which are shorter than the forelegs and permit running quickly.
Animalia:lion.N	1386	A large cat (Panthera leo) that is native to Africa, Asia and formerly much of Europe.
Animalia:livestock.N	631	Cattle, horses, and similar animals kept for domestic use especially on a farm.
Animalia:lizard.N	632	Any reptile of the suborder Lacertilia, especially those of the family Lacertidae, typically having an elongated body, four limbs, and a small tail: includes the gechos, iguanas, chameleons, monitors, and slow worms.
Animalia:lobster.N	2397	Clawed lobsters comprise a family (Nephropidae, sometimes also Homaridae) of large marine crustaceans.
Animalia:locust.N	810	Migratory grasshoppers of the order Orthoptera of warm regions having short antennae.
Animalia:louse or nit.N	2280	A parasitic wingless insect that lives on humans and other mammals or the eggs that this insect produces.
Animalia:louse.N	1392	A small wingless parasitic insect of the order Phthiraptera that lives on humans, other mammals and birds.
Animalia:lynx.N	3314	A wild animal of the Lynx genus, with characteristic spots on its fur and a short tail.
Animalia:macaw.N	1630	Large colorful parrots of the Americas, classified into six of the many Psittacidae genera: Ara, Anodorhynchus, Cyanopsitta, Primolius, Orthopsittaca, and Diopsittaca.
Animalia:magpie.N	2039	One of several kinds of bird in the family Corvidae, especially Pica pica.
Animalia:male (of animal).A	2263	Relating to the male sex of animals.
Animalia:male animal.N	3924	A male animal (Noun)
Animalia:male cat.N	3825	A male of the Felis catus species.
Animalia:male dog.N	2480	A male dog.
Animalia:male goat.N	2475	A male goat.
Animalia:male pig.N	2487	A male pig.
Animalia:male yak.N	2478	A male yak.
Animalia:mallard.N	3610	A member of the Anatidae family, common in large parts of the world and native to the northern hemisphere.
Animalia:mantis.N	3279	A predatory insect of the order Mantodea; mantid; praying mantis.
Animalia:mare.N	938	An adult female horse.
Animalia:marmot.N	3719	A rodent of the genera Marmota.
Animalia:marten.N	3739	A mammal of the family Mustelidae in the genus Martes, inhabiting the forests of the Northern Hemisphere, having a long, slender body, a bushy tail and short legs and also known for its thick, valuable fur.
Animalia:meerkat.N	3148	Southern African animal known for its long tail and often seen standing up on its back legs.
