id	Concepticon id	Definition
Animalia:claw.N	72	The hard, keratin part growing at the feet of animals.
Animalia:coati (coatimundi).N	2389	Coatis, genera Nasua and Nasuella, also known as the coatimundi, Mexican tejón, cholugo, or moncún, Costa Rican pizote, hog-nosed coon,[3] Colombian cusumbo, and other names, are members of the raccoon family (Procyonidae).
Animalia:cockroach.N	1575	The most primitive of the living winged insects.
Animalia:collared peccary.N	435	Piglike hoofed mammal of the genus Tayassu,  of North and South America,  having a dark gray coat with a white collar.
Animalia:comb of bird.N	188	A fleshy growth on the top of the head of some birds.
Animalia:coral snake.N	2240	A large group of elapid snakes that can be subdivided into two distinct groups, Old World coral snakes and New World coral snakes.
Animalia:cormorant.N	840	Medium sized, black water bird from the family of the cormorants (Phalacrocoracidae), scientific name: Phalacrocorax carbo
Animalia:cow dung.N	3435	The faeces of a cow.
Animalia:cow.N	1007	Female bovine animal (Bos taurus) of the subfamily Bovinae of the family Bovidae.
Animalia:cowshed.N	3400	A barn for cows.
Animalia:coyote.N	912	(Canis latrans) A member of the Canidae family native to North America.
Animalia:crab claw.N	2812	Curved pointed appendage of crabs.
Animalia:crab.N	2348	Decapod crustaceans of the infraorder Brachyura, which typically have a very short projecting tail (abdomen) (Greek: βραχύς / brachys = short, οὐρά / οura = tail), usually entirely hidden under the thorax.
Animalia:crane.N	1830	A large bird of the order Gruiformes and the family Gruidae having long legs and a long neck which it extends when flying.
Animalia:crayfish (freshwater).N	2813	Freshwater crustaceans resembling small lobsters.
Animalia:crayfish.N	467	A freshwater crustacean resembling a small lobster.
Animalia:crested myna.N	2346	A species of starling native to southeastern China and Indochina.
Animalia:cricket.N	2354	Insects related to grasshoppers.
Animalia:crocodile.N	1857	Any large tropical reptile of the family Crocodylidae: order Crocodylia. They have a broad head, tapering snout, massive jaws, and a thick outer covering of bony plates. (Source: CED)
Animalia:crow.N	913	A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.
Animalia:crucian carp.N	2784	A medium-sized member of the common carp family.
Animalia:crustaceans (prawns or shrimp).N	2686	Small crustaceans with an exosceleton and ten legs.
Animalia:cuckoo.N	2934	The cuckoos are a family of birds, Cuculidae, the sole taxon in the order Cuculiformes.
Animalia:curassow.N	315	A bird, the crested curassow or royal pheasant.
Animalia:cuttlefish.N	2814	Marine animals with unique internal shell.
Animalia:deer.N	1936	The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.
Animalia:dingo.N	2460	The dingo (Canis lupus dingo) is a free-ranging dog found mainly in Australia.
Animalia:dog.N	2009	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.
Animalia:dolphin.N	1479	A carnivorous aquatic mammal inhabiting mostly in the shallower seas of the continental shelves.
Animalia:donkey.N	1862	A domesticated animal, Equus asinus.
Animalia:dove.N	1853	One of several birds of the family Columbidae.
Animalia:dragon.N	2038	A mythical creature typically depicted as a large horned serpent (Asia) or a winged, fire-breathing reptile (Europe), with magical or spiritual qualities.
Animalia:dragonfly.N	2352	Predatory insect of the order Odonata.
Animalia:drive (cattle).V	2868	Cause animals to move while following them.
Animalia:duck.N	1360	An aquatic bird of the family Anatidae, having a flat bill and webbed feet.
Animalia:duiker.N	1872	Any of several ruminants of the family Bovidae, chiefly of Africa and Asia, having permanent, hollow, unbranched horns.
Animalia:dung (animal faeces).N	2057	Animal faeces.
Animalia:eagle or hawk.N	2683	Large carnivorous bird with a hooked bill and good vision.
Animalia:eagle.N	1905	Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.
Animalia:earthworm.N	2350	A tube-shaped, segmented worm found in the phylum Annelida.
Animalia:echidna.N	3008	Egg-laying mammal of the Tachyglossidae family.
Animalia:eggshell.N	3857	The calcareous covering protecting the inside of an egg.
Animalia:electric eel.N	2443	An electric fish, and the only species in that genus. They are capable of generating powerful electric shocks of up to 600 volts, which they use for hunting, self-defense, and communicating with fellow eels.
Animalia:elephant trunk.N	3678	A long, tube-shaped nose of an elephant.
Animalia:elephant tusk.N	2495	The tusks (incisors) of an elephant.
Animalia:elephant.N	1290	A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.
Animalia:elk.N	1772	The largest member of the deer family (Alces alces), of which the male has very large, palmate antlers.
Animalia:emu.N	2817	Second-largest living bird by height.
Animalia:ewe.N	1345	A female sheep.
Animalia:falcon.N	3258	A bird of prey of genus Falco, which kill preys with its beak (unlike Accipitridae as eagles and hawks, which kill with its feet).
Animalia:female (of animal).A	2262	Relating to the female sex of animals (adjective).
Animalia:female animal.N	3923	A female animal (Noun)
Animalia:female dog.N	2481	A female dog.
Animalia:female goat.N	2476	A female goat.
Animalia:female pig.N	2488	A female pig.
Animalia:female yak.N	2479	A female yak.
Animalia:female.A	1551	Of, relating to, or denoting the sex which is generally characterized as the one associated with the larger gametes (for species which have two sexes and for which this distinction can be made).
Animalia:fin.N	213	An appendage of a fish used for swimming.
Animalia:finch.N	3721	A bird with a conical beak of the family Fringillidae.
Animalia:firefly.N	206	A nocturnal, bioluminescent beetle of the family Lampyridae.
Animalia:fish.N	227	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).
Animalia:flamingo.N	3722	A bird with deep pink colored feathers of the family Phoenicopteridae.
Animalia:flea.N	232	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH)
